Word,Occurrence,% Frequency
than,533,0.09475538710153404
whole,532,0.09457760963980509
people,531,0.09439983217807613
dont,530,0.09422205471634716
emperor,528,0.09386649979288926
should,522,0.09279983502251551
back,519,0.09226650263732863
even,510,0.09066650548176804
own,502,0.08924428578793638
heard,498,0.08853317594102054
good,497,0.0883553984792916
having,494,0.08782206609410471
way,492,0.0874665111706468
because,490,0.0871109562471889
general,490,0.0871109562471889
countess,488,0.08675540132373098
napoleon,485,0.08622206893854412
here,484,0.08604429147681515
look,475,0.08444429432125454
must,472,0.08391096193606767
nothing,471,0.08373318447433871
can,468,0.08319985208915184
any,465,0.08266651970396498
always,464,0.08248874224223601
saw,463,0.08231096478050706
being,463,0.08231096478050706
made,461,0.08195540985704915
love,456,0.08106652254840435
though,456,0.08106652254840435
russian,455,0.0808887450866754
right,450,0.07999985777803062
kutuzov,449,0.07982208031630166
young,444,0.07893319300765687
suddenly,432,0.0767998634669094
round,431,0.07662208600518043
off,430,0.07644430854345148
voice,425,0.0755554212348067
us,423,0.07519986631134877
officer,418,0.07431097900270399
sonya,417,0.07413320154097504
smile,416,0.07395542407924609
looking,415,0.07377764661751712
moment,415,0.07377764661751712
everything,414,0.07359986915578817
knew,413,0.07342209169405921
told,409,0.07271098184714338
never,409,0.07271098184714338
whom,406,0.07217764946195651
while,399,0.07093320722985381
house,397,0.0705776523063959
took,397,0.0705776523063959
words,395,0.070222097382938
much,394,0.07004431992120903
too,393,0.06986654245948007
turned,389,0.06915543261256425
dear,387,0.06879987768910634
let,380,0.06755543545700363
through,377,0.06702210307181676
quite,376,0.06684432561008781
tell,375,0.06666654814835885
denisov,374,0.06648877068662988
soldiers,367,0.0652443284545272
chapter,367,0.0652443284545272
under,366,0.06506655099279823
think,358,0.06364433129896657
once,357,0.06346655383723762
get,357,0.06346655383723762
battle,354,0.06293322145205076
take,352,0.06257766652859284
evidently,350,0.062222111605134925
understand,349,0.06204433414340597
yet,347,0.061688779219948045
last,346,0.0615110017582191
sat,345,0.061333224296490144
father,341,0.06062211444957431
every,336,0.05973322714092953
door,331,0.05884433983228474
herself,328,0.05831100744709787
already,325,0.057777675061911005
most,324,0.05759989760018205
feeling,320,0.05688878775326621
going,319,0.056711010291537266
oh,317,0.056355455368079344
might,315,0.05599990044462143
others,313,0.05564434552116352
behind,311,0.055288790597705605
place,310,0.05511101313597665
stood,308,0.05475545821251874
gave,306,0.054399903289060816
done,303,0.05386657090387395
expression,301,0.053511015980416035
replied,301,0.053511015980416035
side,299,0.05315546105695812
position,296,0.052622128671771254
war,296,0.052622128671771254
order,295,0.05244435121004229
boris,293,0.052088796286584374
anna,293,0.052088796286584374
anything,292,0.05191101882485542
toward,292,0.05191101882485542
thats,290,0.05155546390139751
horse,289,0.05137768643966855
commander,288,0.05119990897793959
dolokhov,287,0.05102213151621064
seen,287,0.05102213151621064
new,287,0.05102213151621064
may,278,0.04942213436065002
give,278,0.04942213436065002
three,276,0.049066579437192115
make,275,0.04888880197546316
put,271,0.04817769212854733
,270,0.04799991466681837
ill,269,0.04782213720508941
also,268,0.047644359743360454
god,266,0.047288804819902545
front,265,0.04711102735817358
horses,264,0.04693324989644463
hands,264,0.04693324989644463
great,263,0.04675547243471567
ran,263,0.04675547243471567
troops,262,0.046577694972986715
both,261,0.04639991751125776
talk,254,0.04515547527915506
officers,252,0.044799920355697145
soon,252,0.044799920355697145
want,251,0.04462214289396819
petya,250,0.04444436543223923
wife,250,0.04444436543223923
shall,247,0.04391103304705236
called,245,0.04355547812359445
petersburg,245,0.04355547812359445
shouted,244,0.04337770066186549
taken,243,0.043199923200136534
alone,242,0.043022145738407576
between,240,0.04266659081494966
chief,239,0.0424888133532207
whether,234,0.04159992604457592
word,234,0.04159992604457592
saying,233,0.041422148582846964
many,233,0.041422148582846964
son,233,0.041422148582846964
part,233,0.041422148582846964
things,231,0.04106659365938905
letter,229,0.04071103873593114
thing,229,0.04071103873593114
along,227,0.040355483812473225
regiment,226,0.04017770635074427
mind,226,0.04017770635074427
table,225,0.03999992888901531
during,224,0.03982215142728635
sent,224,0.03982215142728635
rode,223,0.039644373965557395
against,223,0.039644373965557395
night,221,0.03928881904209948
sitting,221,0.03928881904209948
everyone,221,0.03928881904209948
found,220,0.03911104158037052
entered,220,0.03911104158037052
question,219,0.03893326411864157
rostovs,217,0.03857770919518365
among,216,0.0383999317334547
moved,216,0.0383999317334547
evening,216,0.0383999317334547
continued,215,0.03822215427172574
